Gene names	Majority protein IDs	Mol. weight [kDa]	Average concentration  H1	Average concentration  H2	Average concentration  H3
SETX	Q7Z333-4;Q7Z333;Q7Z333-3	306.34	0.004984367	0.002220696	2.080924636
SEZ6L2	Q6UXD5;Q6UXD5-5;Q6UXD5-3;Q6UXD5-2;Q6UXD5-6;Q6UXD5-4	97.559	0.108974042	0.113536808	0.153518775
SF1	Q15637-2;Q15637-6;Q15637;Q15637-3;Q15637-4;Q15637-7;B4DX42	68.632	2.708761324	2.697527971	2.993681251
SF3A1	Q15459;E9PAW1	88.885	6.133793679	6.137110836	5.972274957
SF3A2	Q15428;K7EKV8;K7EMT0;K7EP23	49.255	4.00197981	3.721842126	2.613520116
SF3A3	Q12874;E7EUT8	58.848	3.961461583	4.154472221	4.764205593
SF3B1	O75533	145.83	9.126290018	9.891634039	9.66909788
SF3B14	Q9Y3B4	14.585	2.843017006	2.081045817	1.948519214
SF3B2	H0YEX5	34.898	0	0	0
SF3B2	Q13435;E9PPJ0	100.23	9.814023197	9.77681839	11.40313046
SF3B3	Q15393	135.58	5.08663458	4.743088375	4.473938653
SF3B4	Q15427;Q5SZ64	44.385	0.994769711	0.938592722	0.901108236
SF3B5	Q9BWJ5	10.135	7.376197583	8.881309255	10.57440427
SFMBT1	Q9UHJ3;Q9UHJ3-2	98.14	0.00559603	0	0
SFN	P31947;P31947-2	27.774	3.918476599	4.256943267	4.32496174
SFPQ	P23246;P23246-2	76.149	19.07698286	18.84906584	20.04159078
SFSWAP	Q12872-2;Q12872;F5H5X1	110.01	0.049464489	0.065109443	0.060622324
SFT2D1	Q8WV19	17.804	0.186313377	0.176484978	0.150900125
SFT2D2	O95562;Q5TIH2	17.779	0.157379584	0.20156071	0.146373475
SFT2D3	Q587I9	21.789	0.978973118	1.593370856	1.343374368
SFXN1	Q9H9B4;D6RFI0;D6RDG7	35.619	13.43808368	13.68614989	13.71500338
SFXN2	Q96NB2	36.231	1.407004546	1.439486584	1.355502128
SFXN3	Q9BWM7	35.978	2.921053258	3.013003203	2.998186374
SFXN4	Q6P4A7;E9PGB5;Q6P4A7-2;F2Z386	37.998	0.272816047	0.179624411	0.319375573
SFXN5	Q8TD22;B8ZZJ6;H7C1S9;C9JIV5	37.124	0.747582029	0.649346169	0.480982858
SGCD	Q92629-2;Q92629;Q92629-3	32.202	0	0	0
SGK196	Q9H5K3;E5RJD5	40.05	0.047216339	0.054576719	0.049058987
SGK2	Q9HBY8;Q9HBY8-3;Q9HBY8-2	47.604	0	0	0
SGK3	Q96BR1;Q96BR1-2;E5RHX2;E5RK28;E5RHY6;E5RJV7	57.107	0.012523625	0.014252747	0.00904828
SGMS1;TMEM23	Q86VZ5;D3DWC4	49.207	0	0	0
SGMS2	Q8NHU3;E5RGG5	42.28	0	0	0
SGPL1	O95470	63.523	2.079557326	1.522337215	1.487214095
SGPP1	Q9BX95	49.107	0.144585296	0.226176056	0.217739895
SGSH	P51688;F5H6A3	56.695	1.346841233	0.86858371	0.818093044
SGTA	O43765;K7EMD6	34.063	2.000779428	2.83680229	2.805562885
SGTB	Q96EQ0;D6RFW1	33.429	0.096999249	0.053350209	0.052028478
SH2B1	Q9NRF2;Q9NRF2-3;Q9NRF2-2;F5GXU7	79.366	0	0.025038605	0.028955513
SH2D4A	Q9H788;Q9H788-2;H0YAT1	52.726	0.105829252	0.050746711	0.109996201
SH3BGRL	O75368	12.774	0.32674931	0.147343223	0.102693277
SH3BGRL2	Q9UJC5	12.326	0.928067305	0.893940525	0.976496738
SH3BGRL3	Q9H299;Q5T123	10.438	5.26149083	4.885754692	3.898922412
SH3BP1	Q9Y3L3;F5GZA8;Q9Y3L3-2	75.712	0.084652816	0.089452004	0.071925332
SH3BP2	D6R919;P78314-3;P78314;D6RBL6;D6RER9;D6R995;D6RAB4;D6RC64	68.128	0.012531972	0	0
SH3BP4	Q9P0V3;Q9P0V3-2	107.49	0.09773265	0.090080325	0.126176992
SH3BP5L	Q7L8J4;B4DQ94	43.499	0	0	0
SH3D19	Q5HYK7;Q5HYK7-2;Q5HYK7-3	86.524	0.011478213	0.037226487	0.021191599
SH3GL1	Q99961;M0QZV5;M0R0I3;Q99961-2;M0QYE0	41.489	0.875578007	2.057153227	1.371959697
SH3GLB1	Q9Y371;Q9Y371-2;Q9Y371-3	40.796	0.538434207	0.644537631	0.566226107
SH3GLB2	B7ZC38;Q9NR46;Q9NR46-2;B7ZC39	44.361	0.010230522	0.174530154	0.162384816
SH3KBP1	Q96B97;Q5VSN0	73.125	0.058048573	0.055330223	0.059236308
SH3PXD2B	A1X283	101.58	0.033409585	0.028692162	0.016975387
SHANK2	A6NHU9;Q9UPX8-3;J3KQC3;H7BXK2;Q9UPX8;H7C1X5	201.34	0.025291916	0.006614912	0.011429785
SHARPIN	Q9H0F6;Q9H0F6-2	39.949	0.007096496	0.007610682	0.057931483
SHB	Q15464	55.042	0	0	0
SHC1	P29353-6;P29353;P29353-7;P29353-2;P29353-3;P29353-5	62.892	0.085750929	0.076103386	0.078848887
SHF	H0YLM1;H0YLW6;H0YLD8;H0YMM7	43.126	0.120266997	0.126638133	0.139880878
SHMT1	B4DPM9	37.672	0	0	0
SHMT1	P34896;P34896-2;A8MYA6;P34896-3	53.082	1.793526639	1.790562723	1.820603024
SHMT2	B4DLV4	44.616	0	0	0
SHMT2	G3V2Y4	25.676	0.066140018	0.072003094	0.078913773
SHMT2	P34897;P34897-3;P34897-2;H0YIZ0	55.992	30.03461341	30.0665601	29.61897473
SHOC2	Q9UQ13;Q9UQ13-2	64.887	0.101564909	0.093532354	0.08140349
SHPK	Q9UHJ6	51.49	1.099643552	1.550540894	1.904061576
SHPRH	K4DI94;Q149N8;Q149N8-4;Q149N8-2;Q149N8-5;H7C2W2	193.46	0.613697812	0.576249986	0.582189663
SHROOM1	Q2M3G4;Q2M3G4-2;A6NN40	90.785	0.046717167	0.05030378	0.043476186
SHROOM2	Q13796	176.41	0.007681606	0.007036434	0.007046339
SHROOM3	Q8TF72	216.85	0	0	0
SIAE	Q9HAT2;Q9HAT2-2	58.314	0.126168199	0.133155336	0.131203698
SIDT2	C9JBG5;Q8NBJ9-2;Q8NBJ9;F5H8L4;E9PMC3;E9PID9	96.728	0	0	0
SIGIRR	Q6IA17;C9JFX4;Q6IA17-2;H0YDF8	45.679	0	0	0
SIGLEC1	Q9BZZ2;Q9BZZ2-3;Q9BZZ2-2	182.62	0	0	0
SIGLEC5;SIGLEC14	O15389;Q08ET2	60.714	0	0	0
SIGLEC9	Q9Y336;M0R2D4	50.081	0	0	0
SIGMAR1	Q99720;Q99720-3;Q99720-4;Q99720-2	25.127	2.653826894	2.824476195	2.429275915
SIK2	Q9H0K1	103.91	0	0	0
SIK3;KIAA0999	H0Y4E8;J3KPC8;Q9Y2K2;H0Y494;A1A5A8;Q9Y2K2-3;A1A5A9;H7C3X8	149.98	0	0	0
SIKE1	Q9BRV8;Q9BRV8-2	23.721	1.516638457	1.275267793	1.126024285
SIL1	D6REA1;Q9H173	52.748	0.031537724	0.030466127	0.029921035
SIN3A	Q96ST3	145.17	0.632779126	0.677457017	0.773905779
SIN3B	O75182;O75182-2;M0QYC5	133.06	0.034397434	0.030725169	0.026517815
SIPA1	Q96FS4;F6RY50	112.15	0.011663963	0.008727038	0.011690369
SIPA1L1	O43166;O43166-2;J3KP19;F5GYF8	200.03	0.006191912	0.006091067	0.011536075
SIRPA;SIRPB1	P78324;P78324-2;P78324-4;Q5TFQ8	54.966	0.063619451	0.075210157	0.091851864
SIRT1	Q96EB6;E9PC49;B0QZ35	81.68	0	0.015379688	0.02269326
SIRT2	Q8IXJ6;Q8IXJ6-3;Q8IXJ6-2;Q8IXJ6-4;E7EWX6	43.182	0.07557025	0.017857265	0.021761631
SIRT3	Q9NTG7;E9PN58;E9PK80;Q9NTG7-2;E9PM75	43.573	0.379504933	0.357974497	0.247935161
SIRT5	Q9NXA8;Q9NXA8-3;Q9NXA8-2;Q9NXA8-4	33.881	0.480835716	0.384277118	0.494031166
SIX5	Q8N196	74.561	0	0	0
SKAP2	O75563;B7Z5R3	41.216	0	0	0
SKI	P12755	80.004	0.042538211	0.052458906	0.053142854
SKIL	P12757;P12757-5;P12757-3;P12757-4;H7C4V3	76.975	0.00682648	0	0.00479263
SKIV2L	Q15477;F5H7B0	137.75	0.139880442	0.273688669	0.269242199
SKIV2L2	P42285;F5H7E2	117.8	1.64771402	1.983419251	2.021775537
SKP1	P63208;E5RJR5;P63208-2;F8W8N3;E7ERH2	18.658	15.50104503	13.86341803	14.1919829
SKP2	Q13309;Q13309-2	47.76	0.021159156	0.020992508	0.0190336
SKT	Q5T5P2;Q5T5P2-3;Q5T5P2-7;Q5T5P2-2;Q5T5P2-6;Q5T5P2-8;Q5T5P2-4	214.11	0.076977861	0.155747519	0.107414896
SLAIN2	Q9P270;D6RIF6	62.543	0.222877841	0.261174277	0.257916523
SLBP	F8W8D3;Q14493;C9IY53;E7EUV9;H0YAE8	32.094	0	0	0
SLC10A1	Q14973	38.119	0	0	0
SLC10A5	Q5PT55	48.87	0	0.006218475	0
SLC10A7	Q0GE19;Q0GE19-2;Q0GE19-3;Q0GE19-4;Q0GE19-5	39.485	0.048436561	0.038576138	0.046123539
SLC11A2	P49281-3;P49281-4;P49281-2;P49281-5;F8W1P7	64.703	0.043765485	0.046767238	0.03817872
SLC12A2	P55011;P55011-3;G3XAL9	131.45	0.01275548	0.00925842	0.030592237
SLC12A4	Q9UP95-7;Q9UP95;Q9UP95-6;Q9UP95-2;Q9UP95-5;I3L4N6;Q9UP95-3;Q9UP95-4	119.74	0.178737841	0.167329053	0.167008658
SLC12A6	Q9UHW9-2;Q9UHW9-6;Q9UHW9;Q9UHW9-4;Q9UHW9-3;Q9UHW9-5;B3KXX3;H0YKQ8;H0YMQ9	122.09	0.24066478	0.172054892	0.186623787
SLC12A7	Q9Y666;H0YB78	119.1	0.133719587	0.06981604	0.056305377
SLC12A9	Q9BXP2	96.109	0.117273634	0.086455214	0.109590317
SLC13A3	Q8WWT9;F6WI18;Q8WWT9-3;C9J7L4;H7C0C8	66.84	0	0	0
SLC13A5	Q86YT5;B3KXR0;F8W7N2;Q86YT5-2	63.061	0.870102587	0.62925426	0.618377635
SLC15A1	P46059	78.805	0	0	0
SLC15A4	Q8N697	62.033	0.043755124	0.06225772	0.050948911
SLC16A1	P53985;Q5T8R5;Q49A45	53.944	5.139945735	5.619439088	6.750791174
SLC16A10	Q8TF71;Q9P1I2	55.492	0.02467747	0.078371933	0.043662771
SLC16A2	P36021	59.511	0	0	0
SLC16A3	O15427;J3QSC3;J3QQV2;J3KTI8;J3QQS9	49.469	7.0267925	7.031297817	7.330799617
SLC16A7	O60669;F5H843;F8W0N3	52.2	0	0	0
SLC17A2	A6NK81;O00624;O00624-2	51.919	0	0	0
SLC17A3	O00476-2;O00476;E9PBQ8	54.258	0	0	0
SLC17A5	Q9NRA2;Q9NRA2-2;B4DFF2	54.639	0.226806607	0.207535104	0.196970465
SLC19A1	P41440;P41440-2;H3BTQ3;P41440-3	64.868	0.172739591	0.155161741	0.145700978
SLC19A2	O60779	55.399	0.057756039	0.055459944	0.10967329
SLC19A3	Q9BZV2;F5H2M8	55.664	0.059578042	0	0.05913269
SLC1A2	P43004;P43004-2;H0YEB1	62.104	0	0	0
SLC1A4	P43007;P43007-2	55.722	1.550284146	1.820872251	1.736554293
SLC1A5	Q15758;M0QXM4;Q15758-2;B4DWS4	56.598	8.016987494	7.890493732	7.557968704
SLC20A1	Q8WUM9;H7BZK4	73.699	0.065513063	0	0.094262003
SLC20A2	Q08357	70.392	0.158004503	0.177462084	0.105208923
SLC22A1	O15245;O15245-3;O15245-2;O15245-4	61.153	0	0	0
SLC22A18	Q96BI1;E9PRM7	44.845	0	0	0
SLC22A23	C9J4Z0;A1A5C7;A1A5C7-2;A1A5C7-3;H7C4T9;C9IZW5	74.642	0.025243289	0.028427869	0.018352338
SLC22A3	Q96KH7;O75751	61.351	0.239815653	0.205753258	0.188099353
SLC22A5	O76082-3;O76082;O76082-2	65.326	0.022909126	0.02405846	0.019912086
SLC22A7	Q9Y694;Q9Y694-2;Q9Y694-3;Q9Y694-4	60.025	0	0	0
SLC22A9	Q8IVM8	62.169	0	0	0
SLC23A1	Q9UHI7-2;Q9UHI7;Q9UHI7-3	65.237	0	0.027134613	0.025765896
SLC23A2	Q9UGH3;B4DJZ1;H0Y544	70.336	0.13166668	0.119602847	0.101217804
SLC25A1	P53007;B4DP62	34.012	16.07371845	16.22323258	18.15974295
SLC25A10	B4DLN1	48.099	10.36259483	11.78386146	12.40258736
SLC25A10	Q9UBX3-2;Q9UBX3;B4E1E9;I3L1E8	32.145	2.399028374	3.519331778	3.721696362
SLC25A11	Q02978;I3L1P8;F5GY65	34.061	5.940757891	5.502277864	5.085841179
SLC25A12	O75746;B3KR64	74.761	0.085911687	0.091185343	0.048266805
SLC25A13	Q9UJS0-2;Q9UJS0;F5GX33	74.303	13.46011886	12.79732381	11.12308854
SLC25A15	Q9Y619	32.736	1.749292406	1.720747806	1.888010975
SLC25A16	B4DPV4	26.142	0	0	0
SLC25A16	P16260	36.223	0.030316705	0.070841067	0.064216284
SLC25A17	O43808;B4DU97;F8WE74;F5GYD1;B0QYW5	34.566	0	0	0
SLC25A18	Q9H1K4	33.848	0	0	0
SLC25A19	Q9HC21;E9PF74;J3KRY6	35.511	0.504818794	0.653652431	0.643258911
SLC25A20	O43772;C9JPE1;B4DWZ5	32.943	2.479450373	2.919595494	3.363897621
SLC25A21	Q9BQT8;G3V4L5	33.303	0.058852652	0.015238771	0.036470161
SLC25A22	Q9H936;E9PJH7;E9PS95	34.47	1.841861882	2.47204955	1.888477034
SLC25A23	Q9BV35;Q9BV35-2;Q9BV35-4;Q9BV35-3	52.377	0	0	0
SLC25A24	Q6NUK1;Q6NUK1-2	53.354	1.423017115	1.286658407	1.352278059
SLC25A25	Q6KCM7;Q6KCM7-3;Q6KCM7-2;Q6KCM7-6	52.662	0.014885788	0	0
SLC25A28	Q96A46	39.271	0	0	0
SLC25A3	Q00325;Q00325-2;F8VVM2	40.094	23.11609238	24.52553174	23.21493907
SLC25A32	Q9H2D1;B4DUQ5	35.407	0	0	0
SLC25A33	Q9BSK2	35.375	0.255264943	0.318592523	0.220392041
SLC25A4	P12235	33.064	3.645674981	3.181382872	3.36454153
SLC25A40	Q8TBP6	38.124	0	0.02338523	0
SLC25A42	Q86VD7	35.409	0.080751797	0.032777416	0.06440052
SLC25A44	Q96H78;E9PGQ0	35.392	0.070201633	0.084484953	0.082213995
SLC25A46	Q96AG3;B4DTA3;B4DY98;B3KRE6;E7EVY2;B7Z6C8	46.173	0.118952587	0.123181383	0.107103597
SLC25A5	P05141	32.852	54.71833851	57.89567067	60.77613558
SLC25A6	P12236	32.866	5.767099178	4.814647854	4.993892656
SLC26A1	Q9H2B4	75.015	0.094976305	0.104091444	0.080071053
SLC26A6	Q9BXS9;Q9BXS9-3;Q9BXS9-2;B4DMZ1;G3XAC1;Q9NQU1;C9JKR6;C9J6Y3;F8W9I8	82.966	0.293979374	0.347588258	0.171904217
SLC27A1	Q6PCB7;B7Z662	71.107	0.007761772	0.007599209	0
SLC27A2	O14975;O14975-2;G3V1R7	70.311	2.873385334	2.845836669	2.962308549
SLC27A3	Q5K4L6;Q5K4L6-2;Q5K4L6-3	78.643	0.066828453	0.078222387	0.056050485
SLC27A4	Q6P1M0	72.063	0.190343232	0.153527984	0.140682638
SLC27A5	Q9Y2P5;B4DPQ1	75.384	0	0	0
SLC28A1	O00337;F5H560;B7Z533;B7Z3L6	71.583	0	0	0
SLC29A1	B3KQV7;Q99808	58.962	0.807333376	1.202499444	0.801631025
SLC2A1	C9JIM8	27.281	0	0	0
SLC2A1	P11166	54.083	17.01698029	16.13841156	13.39610971
SLC2A10	O95528	56.911	0	0	0
SLC2A13	Q96QE2;E9PE47	70.37	0	0	0
SLC2A2	C9J0E8	11.624	0	0	0
SLC2A2	P11168;F8W8V8	57.489	0.082075924	0.141772001	0.097561925
SLC2A3;SLC2A14	P11169;B7ZAC3;Q8TDB8;Q8TDB8-2;B7Z844	53.924	2.372424766	2.556669237	2.465645577
SLC2A4	P14672;I3L2R4;F5H081;Q05BQ3	54.787	0.048472255	0.062719766	0.065370506
SLC2A8	Q9NY64;Q5VVV9;Q5VVW0;Q5VVV4;Q5VVV5;Q5VVV3;Q5VVV6;H0Y7M6	50.818	0.014095809	0	0.015446654
SLC2A9	Q9NRM0;Q9NRM0-2	58.701	0	0	0.023913671
SLC30A1	Q9Y6M5	55.299	0.754434071	0.877231922	1.006511031
SLC30A10	Q6XR72;Q6XR72-2	52.683	0.240462925	0.314793892	0.365468503
SLC30A5	Q8TAD4	84.046	0.030692917	0.03587117	0.031728671
SLC30A6	Q6NXT4-2;Q6NXT4;Q6NXT4-4;B5MCR8;Q6NXT4-3;B3KU87	55.794	0.105774713	0.112979041	0.039387109
SLC30A7	Q8NEW0	41.625	1.287562029	1.231119172	1.174375179
SLC30A9	Q6PML9	63.514	0.261211812	0.24862608	0.210906841
SLC31A1	O15431;Q5T1M3	21.09	0.963559199	1.249063346	0.630925909
SLC33A1	O00400	60.908	0.738682295	0.92484403	0.742683076
SLC35A1	P78382;P78382-2;B4DEM1;Q5W1L7	36.778	0.207757534	0.276689747	0.210027025
SLC35A2	P78381;P78381-2;E7EW45;B4DE11	41.307	0.449316634	0.229609307	0.355885241
SLC35A3	Q9Y2D2-2;Q9Y2D2;C9JW63;Q9BSB7	40.553	0.29442307	0.113487507	0.122957707
SLC35A5	Q9BS91	48.5	0	0	0
SLC35B1	P78383;D6RHG0;D6RB73;D6RE58;D6R9G9;D6RDY9	35.759	0.33210586	0.32862162	0.432036788
SLC35B2	Q8TB61;Q8TB61-2;Q8TB61-3	47.514	2.816986377	3.416991114	3.356037074
SLC35B3	Q9H1N7;Q9H1N7-3;B4E1Q6;Q9H1N7-2	44.592	0	0	0
SLC35B4	Q969S0;Q969S0-3;Q969S0-2	37.423	0	0	0
SLC35C1	Q96A29;B2RDB2;E9PLS1;E9PPI4;E9PS26	39.808	0.078969062	0.087163945	0.145633576
SLC35D1	Q9NTN3;B7Z3X2	39.24	0.217301077	0.253739087	0.223174275
SLC35D2	Q76EJ3;Q76EJ3-2;Q5VZJ2	36.672	0.143511357	0.112958119	0.113792367
SLC35E1	Q96K37;H7C1I0	44.772	1.365463036	1.376043509	1.240723996
SLC37A4	O43826-2;O43826	48.839	2.46087649	2.437491914	2.114428389
SLC38A1	F8VX04;Q9H2H9	56.195	0.306454081	0.290947021	0.33784388
SLC38A10	Q9HBR0;Q9HBR0-3	119.76	0.162146715	0.231696918	0.16730037
SLC38A2	Q96QD8;Q96QD8-2	56.025	4.127468525	3.948898297	3.669691628
SLC38A3	Q99624	55.772	1.984393733	2.364567414	1.712202946
SLC38A4	Q969I6;F8VQY9;F8VRD9	60.764	0	0	0
SLC38A5	Q8WUX1;Q8WUX1-2;C9JNK4;C9JWG4;C9JHH7;C9JMY2;C9JJU1	51.457	0.192104796	0.223499209	0.237062291
SLC38A7	Q9NVC3;H3BPK8;H3BMC5;Q9NVC3-2;H3BP25	49.965	0	0	0
SLC38A9	Q8NBW4;Q8NBW4-3;Q8NBW4-4;Q8NBW4-2;D6R9Q7;D6RHF5;D6RG31;E7ESU6;D6RER8	63.775	0	0	0
SLC39A1	Q9NY26;Q5T4K3;Q5T4K4;B4DDY7;Q5T4K2	34.249	0.138352175	0.175032422	0.168712769
SLC39A10	Q9ULF5	94.131	0	0.034256136	0.007020976
SLC39A11	Q8N1S5-2;Q8N1S5;J3QS49;J3KRX2;J3QLB2	34.741	0.857022348	0.975042899	0.620411064
SLC39A14	Q15043;Q15043-3;Q15043-2;E5RFT1	54.212	4.522237718	4.35380895	4.273780864
SLC39A4	Q6P5W5;A6NDY5;Q6P5W5-2	68.391	0.562957451	0.563095214	0.538517537
SLC39A5	Q6ZMH5	56.46	1.004371961	0	0
SLC39A7	Q92504;A2AAT0	50.117	3.378445514	2.446213257	2.828870889
SLC39A9	Q9NUM3;Q9NUM3-2;G3V5J8	32.251	0.02737317	0.015526662	0
SLC3A1	Q07837;B8ZZK1;Q4J6B5;Q4J6B6;Q4J6B8;E7ENC4	78.851	0.139742295	0.116715589	0.077932444
SLC3A2	F5H867	14.757	0.204708737	0.282962211	0.305954302
SLC3A2	P08195-4;J3KPF3;P08195;F5GZS6;P08195-3	71.122	10.49461661	9.537983653	9.203309238
SLC41A3	E7ENY4;Q96GZ6-5;Q96GZ6-7;Q96GZ6-6;Q96GZ6;Q96GZ6-2;D6RDB0;D6RHE3;D6R9S7;Q96GZ6-8;D6R9X6;D6R9M9;D6RF72	52.478	0.184269678	0.183592083	0.225868419
SLC43A1	E9PJ68	28.437	0	0	0
SLC43A1	O75387;O75387-2	61.476	0.026529607	0.035397034	0.031779789
SLC43A3	E7EQD2;Q8NBI5;E9PS74;H0YD64	55.864	0	0	0
SLC44A1	Q8WWI5;Q8WWI5-2;Q8WWI5-3	73.301	0.299519436	0.273601401	0.368738891
SLC44A2	Q8IWA5;Q8IWA5-3;Q8IWA5-2	80.123	0	0	0
SLC44A3	Q8N4M1;Q8N4M1-3;Q8N4M1-2;Q8N4M1-4;E9PIC5;Q8N4M1-5;F8W7F3;H0YDW5	73.783	0	0	0
SLC46A1	Q96NT5;Q96NT5-2;C9JSZ2;J3QRF7	49.77	0.079947872	0.045089994	0.048192819
SLC46A3	Q7Z3Q1-2;Q7Z3Q1;Q7Z3Q1-3	51.693	0	0	0
SLC47A1	Q96FL8-3;Q96FL8;I3L345;E7EX57	63.548	0.157873958	0.154174314	0.05319182
SLC4A1	P02730	101.79	0	0	0
SLC4A1AP	Q9BWU0	88.813	0.433994125	0.393127619	0.423261947
SLC4A2	P04920;P04920-3;P04920-2;J3KNG9	137.01	0.080671803	0.059436877	0.06102758
SLC4A4	Q9Y6R1;Q9Y6R1-5;Q9Y6R1-4;Q9Y6R1-2	121.46	0	0	0
SLC4A7	E9PDL9;Q9Y6M7-7;Q9Y6M7-8;D3K174;Q9Y6M7-6;E9PFN4;E9PGC1;Q9Y6M7-9;Q9Y6M7;Q9Y6M7-2;C9JRP1;Q9Y6M7-3;Q9Y6M7-4;H7C3C4;F8W7E6;Q9Y6M7-5;B6DY52;B6DY53	140.76	0.038465254	0.042366279	0.04676066
SLC5A1	P13866;P13866-2	73.497	0	0	0.005242305
SLC5A12	Q1EHB4	67.646	0	0	0
SLC5A6	Q9Y289	68.641	0.49347451	0.392059756	0.35200401
SLC5A9	Q2M3M2-2;E9PJ08;Q2M3M2	76.83	0.020989871	0.025635099	0.024585438
SLC6A1	P30531;B7Z3C5	67.073	0	0	0
SLC6A11	P48066	70.605	0.28452289	0.09175567	0.187498532
SLC6A12	P48065	69.368	0.160565835	0.132572033	0.151541216
SLC6A14	Q9UN76	72.152	0.671126311	0.776583998	0.725312181
SLC6A6	P31641;E9PDM3;F8WF95;C9JPV1	69.829	0.133915492	0.121509666	0.114677217
SLC6A8	P48029;P48029-2;P48029-4;P48029-3;H7C222	70.522	0.044018442	0	0
SLC6A9	P48067;P48067-3;P48067-2;B7Z589;J3KPA5;B7Z3A9;B7Z9G8	78.259	0.151709041	0.05074745	0.193515966
SLC7A1	P30825	67.638	0.126254422	0.188901406	0.335113785
SLC7A10	Q9NS82;K7EK24;K7ENB6	56.797	0.034712011	0.028927729	0.030833387
SLC7A2	P52569-2;P52569-3;P52569	76.023	0.375058955	0.280841158	0.368686461
SLC7A5	Q01650	55.01	4.176905704	3.263560852	2.810340615
SLC9A3R1	O14745;B3KY21;J3QRP6	38.868	11.92495201	14.42544095	13.26140528
SLC9A3R2	D3DU85;Q15599-2	36.153	0	0	0
SLC9A3R2	Q15599	37.413	0.597973508	0.55588602	0.602944932
SLC9A6	Q92581-2;Q92581-3;Q92581	77.916	0	0.023670359	0.029907831
SLC9A7	Q96T83	80.13	0	0	0
SLC9A9	Q8IVB4	72.564	0	0	0
SLC9B2	Q86UD5;E9PE63;Q86UD5-2;B7Z676;D6RGJ7	57.563	0.033926183	0.050862762	0.052369846
SLCO1B1	Q9Y6L6	76.448	0	0	0
SLCO1B3;SLCO1B7	Q9NPD5;Q5JAR4;H0YGG9;F5H094	77.402	0	0	0
SLCO2B1	O94956;E7ERN5;E9PRW4;E9PPU8;O94956-2	76.71	0.015360746	0.01883207	0.016038739
SLCO4C1	Q6ZQN7	78.948	0.124245358	0.104323764	0.1099387
SLFN5	Q08AF3;B4E128;Q08AF3-2	101.05	0	0	0
SLIRP	Q9GZT3;J3KMY7;G3V2S9;G3V4X6;H0YJ40;H0YJW7	12.349	35.68770113	32.80113337	30.64839316
SLK	Q9H2G2;Q9H2G2-2	142.69	0.23035639	0.22581987	0.206831175
SLMAP	Q14BN4;Q14BN4-3;Q14BN4-2;H7BZK0;Q14BN4-4;H7C3M8;Q14BN4-6;B7Z964;Q14BN4-5	95.197	0.05220053	0.05588938	0.049559537
SLTM	H7BXE3;H0YL55;H0YLE6;H0YNF3	48.848	0	0	0
SLTM	Q9NWH9;A8K5V8;H7C3F4	117.15	0.299567017	0.325160475	0.498952271
SLU7	O95391	68.386	0.157431843	0.202921571	0.262711988
SMAD2	Q15796-2;Q15796;B7Z5N5	48.955	0.216240079	0.218647278	0.213361838
SMAD3	P84022;P84022-2	48.08	0	0	0
SMAD4	Q13485;K7EIU8;K7ES96	60.438	0.065091549	0.127389916	0.136529572
SMAD5	Q99717;F5GWU7;D6RBB4	52.258	0.149183981	0.164965076	0.242784628
SMAGP	Q0VAQ4	10.679	0	0	0
SMAP;C11orf58	O00193;E9PM92;E3W975;E9PRZ9	20.332	3.839286293	3.438670539	2.657726663
SMAP1	Q8IYB5-3;Q8IYB5;Q8IYB5-2;E7ETU6	47.861	0.005948288	0	0.066386572
SMAP2	Q8WU79;Q8WU79-2;Q8WU79-3	46.785	0.079555631	0.065925232	0.090345352
SMARCA1	P28370;F6TQG2	122.6	0	0	0
SMARCA2	B1ALF6;F6XG14;F6XE55	31.979	0	0	0
SMARCA2	P51531-2;P51531	179.28	0.406209245	0.422231728	0.305756803
SMARCA4	Q9HBD4;P51532;P51532-4;P51532-2	188.15	0.489869949	0.533117792	0.622862524
SMARCA5	O60264	121.9	0.995695835	0.864269582	0.868373466
SMARCAD1	Q9H4L7-2;Q9H4L7;Q9H4L7-3	117.6	0.079540024	0.068165985	0.073630405
SMARCAL1	Q9NZC9;H7BYI2	105.94	0.024324098	0.03088775	0.032426205
SMARCB1	G5E975;Q12824-2;Q12824;B5MCL5;C9JTA6	45.05	0.606638581	0.764154346	0.781805914
SMARCC1	Q92922	122.87	0.828888144	0.805340906	0.850689297
SMARCC2	F8VXC8;Q8TAQ2-3;Q8TAQ2-2	136.18	0	0	0
SMARCC2	Q8TAQ2	132.88	1.031135892	1.050024066	1.085110839
SMARCD1	Q96GM5;Q96GM5-2;F8VZ70;F8VUB0;F8VRQ4	58.232	0.186971312	0.129496791	0.23131285
SMARCD2	Q92925;Q92925-3;J3KMX2;Q92925-2	58.92	1.093406446	1.145716394	0.814189474
SMARCE1	C0IMW5;C0IMW7;C0IMW4;B4DFR4;J3KT85	37.966	0	0	0
SMARCE1	Q969G3-2;Q969G3;B4DGM3;J3QKS7;J3QR61	41.779	2.695390338	1.810871477	2.482858442
SMC1A	Q14683	143.23	1.828586774	2.01257243	1.810811504
SMC2	O95347;O95347-2	135.65	0.846978225	0.947620665	0.926472548
SMC3	Q9UQE7	141.54	2.19731196	2.0624453	2.11579665
SMC4	Q9NTJ3;E9PD53;Q9NTJ3-2	147.18	0.87904465	0.673256688	0.985130402
SMC5	Q8IY18	128.81	0.279275358	0.242535686	0.170124007
